text,like_count,author,is_favorited,_time_text,video_title,is_Hate?
Maiden with Clive Burr was MORE radical.,0,@Ricardo-g6w9w,False,1 day ago,Hallowed Be Thy Name (2015 Remaster),0
"Listening right now.
I'm 54",0,@GonyOneKannabis,False,4 days ago,Hallowed Be Thy Name (2015 Remaster),0
"Hail to the king, to the king of the Kremlings!
Hail to the king, to the king of the Kremlings!
Hail to the king, to the king of the Kremling crew!",0,@Winsane,False,5 days ago,Hallowed Be Thy Name (2015 Remaster),0
2025  from Argentina,1,@carlose.morales1831,False,7 days ago,Hallowed Be Thy Name (2015 Remaster),0
Im only here just for school work,0,@idknoob1,False,8 days ago,Hallowed Be Thy Name (2015 Remaster),0
"Rime of the Ancient Mariner gets the title, this one and Powerslave (the song) come after.",1,@robertpirsig8899,False,12 days ago,Hallowed Be Thy Name (2015 Remaster),0
Best intro in music history.,0,@GymDemoN,False,12 days ago,Hallowed Be Thy Name (2015 Remaster),0
2025 here we are Maiden for ever💪⬜️⬛️,0,@ΓΙΩΡΓΟΣΚΟΤΙΔΗΣ,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Epic and groovy.,0,@punkyu_fyb.7,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Being a young guy this band won me ova.to this day 30 years later.thanks iron.da best,0,@xxx-y7v6o,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"Let me tell you a story to chill the bone ... one evening listening to hallowed be thy name i realised that i dont exist the only thing that exists is god and god only for the begining to end , everything else is separation from truth,but remember truth cant noke itself -> i was 18 when is realised this ny journey began at 16 ->  12 nov 2022",1,@luansmit408,False,2 weeks ago (edited),Hallowed Be Thy Name (2015 Remaster),0
sound perfect.....groupe,0,@RonaldR-yh5kd,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Jesus after 30 years what a tune,0,@nathangrayburn7152,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
2025 Is anyone with me...?😢,79,@dogedog6343,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"Don’t worry, I’m here with you.",4,@alfredogalletti4425,False,5 days ago,Hallowed Be Thy Name (2015 Remaster),0
"Here, and will always be, my friend.",4,@ElAsombrosoPachus,False,3 days ago,Hallowed Be Thy Name (2015 Remaster),0
"Me😢
Crying also.",0,@Ricardo-g6w9w,False,1 day ago (edited),Hallowed Be Thy Name (2015 Remaster),0
Legendary beyond words can describe,0,@PanosPlevritis,False,2 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Annnnd i'm the'' 2025 anyone'' npc comment 😭😂🇫🇷,1,@Achille-cl1pr,False,2 weeks ago (edited),Hallowed Be Thy Name (2015 Remaster),0
Hell yeah,0,@Dr.eevilkneevil,False,7 days ago,Hallowed Be Thy Name (2015 Remaster),0
Hope you have all recovered 😉 from the flu...that would be an ecumenical matter ❤😂🎉...,1,@emmettpigott9403,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
10th March,0,@stevengreenhow6935,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"M
A
S
T
E
R
P
I
E
C
E",0,@80sf1fan2,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"Gotta get this masterpiece hang in a metal museum, take notes guys 📝 📋 🎵 🎶",0,@SHADOW-YT45,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"The best,",0,@susanaortiz-fv9iw,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"A cristan band, what else 🇵🇹🤟🤟🙏🙏",0,@susanaortiz-fv9iw,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Its just... the best band 🤟🇵🇹🤟🤟🇵🇹,0,@susanaortiz-fv9iw,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"total masterpiece
great storytelling, one of rock's greatest songs ever",0,@peironepablo,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
2025 AND STILL HERE ❤ IRON MAIDEN TIL THE DAY I DIE,1,@saerye,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Possibly the greatest heavy metal song of all time.,0,@Nautilus1972,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Quality!!!,0,@GordonBrown-g2v,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
"Masterpiece.
Thank you Maiden 🙏",1,@AlitaAvenger,False,4 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Can you find the Derek Riggs symbol on the cover?,0,@rancon265,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
This has gotta be THE metal song of all time,3,@Skeletron7,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
nah there are many great metal out there,0,@solomonhaorei,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
"@jjioooouutftyuuhvcxzdtyuij  I know. But this, Master of Puppets, Iron Man, and Painkiller, for example are just a step above most others in terms of icon factor",0,@Skeletron7,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
This break at 04:33 and solo omg 😍😍😍😍,0,@boris_just_,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
That song meet the clever mood of talk and sing with lenguage of England for said so the english... talk from British English 😊,0,@IsraelEspinoza-b2z,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
It never gets old  fucking awesome!,1,@MichaelCavill-k5h,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
"2025, but until ♾️. Rock never dies.",1,@jihadbrih3501,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
After long time I think this Is the best Iron Maiden song. I am a Metallica fan but this is the master piece.,2,@alfonsonorelli5413,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
"Brits are here...
Chinese are here...
Indians are here...
Americans are here...
Muslims are here...
Xtians are here...
Jews are here...

Bl○○dy hell the fire of metal is here.!!",2,@azeemazoom3976,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
Oh yes. Iron Maiden at the best. They wil last,0,@ErlandRisholt-m7p,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
"2025🎉, this songs never getting old for me.",0,@RRMotiversite,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
2025 the best,0,@oscarpulido5090,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
My daughters week old baby likes this,4,@quagmirewasere,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
Just over a month he still likes it,1,@quagmirewasere,False,3 weeks ago,Hallowed Be Thy Name (2015 Remaster),0
Steve Harris ❤,1,@gillesloison9667,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
My fav song of all time can't get better than this,2,@Metaltonin,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
20 years ago drunk as fuck every weekend my brothers would play this and I’d get a second wind,1,@aaronfoley6531,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"2025,,,stupid question, stop asking that. Dumb ass",0,@allanm6043,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
What an absolute banger of a song. I will never stop blasing this at the gym,0,@wasmith76,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Gotta love those drums, so good.",0,@madman.909,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
A Great album 🤘🤘🤘👍👍👍👍👍👍👍👍🤘❤❤❤❤❤❤❤❤❤,1,@zoranstankovic-cb8cd,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"There was a lot of voice, I got scared",0,@Demervalbispo,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"why
 are there 17k dislikes",0,@patric1236,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
Now put this next to any song from Metallica 😂😂😂😂,0,@enrico20957,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Going back to those defiant days when we knew the convent we studied in will cry "" blasphemy!""! But Iron Maiden made us head bangers ! Not the same without Bruce Dickinson though.",0,@juliesun4050,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Mark my words, believe, my soul lives on
Don′t worry now that I have gone
I've gone beyond to see the truth
When you know that your time is close at hand
Maybe then you'll begin to understand
Life down here is just a strange illusion",0,@SKITZIZZZZADON,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"this is definitely the best song on the album

the album is great, and all songs are somewhere in the range of good, great and awesome but this one... is a masterpiece",1,@yanstein8464,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
This song and the wicker man.... are top!,1,@georgiosboussias1975,False,2 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
"where is my college generation please 
?",0,@38betelgeuse,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
January 2025 🥰,1,@RobertAfon,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"god, this remaster is unlistenable, someone stop harris from ruining martin birch legacy",0,@leonardotrevisan2538,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
2025 we are still alive!🔥,2,@matheussampaio2736,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
One of Maiden's best,0,@francesgreen5108,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Metal people, we are here every year, we don't need to ask every fuck*** year.",14,@mrmdte88,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
You bet love the music 🥰🥰🥰,0,@RobertAfon,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
1st of January 2025 anyone?,4,@stofawayne4345,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
This shit changes you forever,2,@Jacket_knot,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
Who is the listening ? Last day for 2024 ❔,6,@zekitile07,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
"It's - 2 - minutes... to midnight. 

Literally. 
(Well, 15. 😏) 

Happy 2025, my Maiden brother! 
(Or, sister...?)",0,@waden9815,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
2024 and stii the best ❤❤❤,0,@Rethsuhi-wh6kz,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
This was my first metal song ever. Just came on shuffle one time and I've never looked back. This song will always be one of the most special songs to me,5,@cadiastands6874,False,3 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
Best part of any song ever 6:24,2,@QSGWorldwide,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
Any year ❤,0,@DanielFacheris-ek9ti,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
Off course..every year man..this is whT music  is all about ok little bois amd firl,0,@MelodyHaokip20,False,1 month ago,Hallowed Be Thy Name (2015 Remaster),0
Me at this moment,0,@juanantonior7288,False,8 days ago,Hallowed Be Thy Name (2015 Remaster),0
What 2026,0,@AshleeBlinston-ug3zx,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
Top👏👏👏👏👏👏,0,@weversonpaixao8008,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
who 2025,1,@christiansanchez-mj4ji,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
Iron 🤟🏻🎸🔥❤️,0,@marybassoli175,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
I can sing,0,@mariourrunaga6427,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
"My first big concert September 1984 in Toronto with Twisted Sister opening up, Powerslave tour",2,@FreemanJoe1968,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
I blame Iron Maiden for my alcoholism...,0,@winegums8047,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
I'm wearing a mask on he'll be name butler perth boys are running low 😊,0,@SethPrior-ds1ju,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
Love this song 🎵,0,@Ernestkerr-t5t,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
best song on the Maiden,1,@nicolasblanchard1346,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
My favourite Maiden track….,0,@peterwatkins6514,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
"God created the universe in 6 days, because the seventh day was Sunday and it was time to kick back  and relax listening to Maiden",11,@reallysarcastic7056,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
reflecting on my past life and it doesn't have much time,0,@Ángel-z4y1r,False,3 months ago,Hallowed Be Thy Name (2015 Remaster),0
🇬🇷 IRON MAIDEN FOREVER ABSOLUTELY RESPECT 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,@stamatina_krina,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
These bands and wall posters will never come back,2,@slawol987,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
crustacean period anyone????,0,@markbunag-y6r,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
I don't even like this sort of music but this tune is unreal,1,@gazthompson3386,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Tears they flow but, 
why am I crying? 
After all, I'm not afraid of dying...",3,@AlohaUlises,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"My father has a band, they pay tribute to you🤟🏻",0,@sraxxz_llxu,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Sabbath, Maiden, Judas, Saxon......ahhhh the good old days.",3,@ernestomartinez4090,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Cause at 5 o'clock they'd take me to the gallows pole...It sounds so essential, as I am really at his place...",0,@antonplotnikov6497,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"I really like the MUSIC of Maiden, not so much the high voice of the singer. With another harder voice Maiden would be a really (!) great band.. a little bit sad",1,@nikomohaupt8552,False,4 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
Heaviest of all metals? Iron Maiden.,0,@Randomguyiswear,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
Meaning of sounds of me are running low?,0,@tejnathpaudel9155,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
I don't like the Iron Maiden but this song is...awweeeesomeee!!! 110% Fantastic!,0,@nobellend6434,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Watching from Greece.gi everybody.
This song is the get by IM and one of the best on IM's song 
RIP great Paul Di'anno and drummer Icon 
Period.",1,@thesaints-7-andrew.,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
He can say ''looooooow'' more longer then me whitout breathing under water😂😂🤣🤣,2,@OlivierDumoulin-v5j,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
Rime of the Ancient Mariner 🤘,5,@karinacarmo4848,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
It's much better with cradle of the fi,1,@kropperghetto,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
Poor Bruce. He can't remember travelling on concorde . He blames the long hair time in his life.  Now he can fly anything in the sky,0,@Leela-r5r,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
1.47am perfect time for a chocolate eclair,0,@Hester141,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
The most perfect maiden song,1,@jonno9891,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
When you know that you're time is closer & mabye then you'll begin to understand living here is just a strange illusion.,2,@CarlyDocherty-w3h,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
🤘🏻🤘🏻🤘🏻🤘🏻 Classic ....,0,@zilicaio,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
Heavy metal is best music,1,@bojandabic3111,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
From 🇬🇷 anyone?,1,@mhnrwtaspospernaw,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
so wonderful listening to this track after such a long time!!!,0,@kreuzzer2845,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Who’s celebrating Timelessness ???,3,@kingtobzgaming,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
They are auto exocising themselves now😂😂😂😂😂😂😂Using our names in their own universe😂😂😂😂😂😂,0,@TheoneWithoneopinion-u3e,False,5 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
"Bruce Dickinson
👊🏴󠁧󠁢󠁥󠁮󠁧󠁿👊",0,@GR1000,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"I guess I was totally wrong when it came to the lyrics. I thought the lyrics were as follows:I'm waiting in my cold cell
When the bread begins to climb
Reflecting on my fast life
And I think it’s dinner time
'Cause at five o'clock
They’re taking me to the Jell-O bowl

The cans of lime for me are running low

Running low, yeah

When the feast comes to feed me the last bites
Take a look through the bars at the last bites
Of a world that has gone berry wrong for me
Can it be that there's some sort of an error?
Hard to stop the surmounting terror
Is it really the end, not some crazy cream?

Somebody, please, tell me that I’m creaming
It’s not easy to stop from streaming
But birds escape me when I try to speak
Tears flow, but why am I crying?
After all, I’m not afraid of frying
Don’t I believe that there’s never an end?

As the guards march me out to the cornbread
Somebody fries from a shell, “Cod be with you”
If there's a Cod, why has he let me go?
As I walk, my wife drifts before me
And though the blend is near, I’m not sorry
Catch my sole, it’s willing to fry away

Mark my words, believe, my sole lives on
Don't worry now that I have gone
I’ve gone beyond to see the truth
When you know that your thyme is close at hand
Maybe then you’ll begin to understand
Life down here is just a strange inclusion

Yeah, yeah, yeah
Hallowed peas by Thy ham
Yeah, yeah, yeah
Hallowed peas by Thy ham

Yeah",0,@SparkOnlineRetail,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Heavy metal is definitely a thousand times better than stupid reggaeton hahaha this is music 🤘🤘🤘🤘🔥🔥🔥,0,@isabelchuc386,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Iron maiden the best.,2,@RobsonRodrigues-d5g,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
nothing else matters if you like slipknot pantera metallica megadeth or death iron maiden forever,0,@Ed_Hunter1999,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"And of course RIP Paul..,.we love you!!!!!",0,@IsmoHedlund-hj7kn,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
This sound is so banger 🔥,0,@danielcampos8802,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"F'me, the best song ever written till the end of this planet.!",1,@makis206,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"RIP, Paul. Legend & classic voice of metal and IMaiden! The history of Rock belong to u.. continue free on your new journey. Eternal Greetings from Brazil!! 
🙏🇧🇷🇬🇧🙏",21,@IVANPLLIMAPOARSBRA,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Am going to see iron maiden in 2025,1,@CoreyRutherford-rd9gw,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
UNA COSA DE LOCOS,0,@MarceloAlejandroFilomia,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
When does the Hallow come into play ? Id it Easter the chalk let bunny out lined on the sidewalk ? Or shall it be the HALLOWS OF THE GALLOW DOWN BELOW ? OR COULD IT BE OF THE HALLOW GOD THEY BUILT YOU ALL TO BELEIVE IN ! HALLOW BE THY NAME ! TASTE THEE SHAME ! ADX8🌪🫂🌪💦💦💯💦💦,0,@KinGDAVID-n7k,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"My hubby favourite tracks were Phantom of the Opera, Prowler and this track....until today he still loved those tracks....a true Iron Maiden die hard fans 😊😊",0,@hayatikamaruddin5087,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Anybody listening to this in 1834,1950,2004,3500,2 mil A.D?.WTF is this with any fkn body listening in fkn boring year ,day,month,camera fkn men never fkn dies comment,i almost puked once,anybody listening to this when i was a virgin and my cousin came inside me?anybody?wtf",0,@nathanbekh1340,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
One of the best songs of Iron Maiden.,4,@BlizzardONE,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
One of my favourite bands of all time love it,0,@ramseydeprez4533,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Hall of fame🤟,0,@Hooolivier,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Se you all, 3 Arena- Stockholm, 2025-06-12. Got tickets me and son, front row, gone be eptick! Tapio and William.",1,@sarahbrandt1605,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
the best song,0,@mmouzouri1,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
42 years later and they are so actual and rule metal world..masterpiece!!,6,@antoniorenna2649,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Everyone....is smashing it in 2024,2,@johnysmithy-67,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Masterpiece.
R.I.P Clive Burr, what an incredible drummer 🤘",0,@cairnbolete4481,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
2017 first now 2024?,1,@Apolomuñoz,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
This is a power song for me !!,0,@giovanniantoniomaggi2199,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
..5 o clock they sent to gallow pole ☠️,0,@nizams321,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),1
"Awesome fucking band and will never be forgotten.
Old is gold",4,@susanmascarenhas3800,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
I might...in case of interest,0,@peterhagen7793,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Me to....or...🤔 born or dead, how do you meen.....her eany ways✌️👍👌",0,@peterhagen7793,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Love those drums...just awesome.🥁🥁🥁🥁🥁,1,@steviegwhizz345,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"❤
Since 1990 until the present day",1,@davidkershaw4352,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"The Beckett version are great, but this is the best.",0,@andreas3911,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
I used to sing this song from back to back with mt friend who unfortunately died of a car accident ride on Ruben 💪,0,@dankpepex7836,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Thy will be done on earth as it is in heaven,1,@Pointed130,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Inmortal Iron Maiden,1,@jorgemoracalderon5309,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
If you don’t start nodding your head when that riff starts then you’re dead inside ….,5,@markwright8118,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Wanna hear a Secret?




NO ONE CARES WHAT YEAR YOU'RE LISTENING TO THIS",0,@ranger7522,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"I am so glad my Dad got me into Maiden. Got me tickets to see them, and I've been hooked since.",1,@nathanhall83,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Greatest song ever,0,@lincolnanderson3188,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
the greatest work in heavy metal history,0,@RóbertPapp-p9e,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"2024 , living of spirit iron maiden , yes , I can hear of fear",1,@ZeferMago,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
One of the iconics solo in history of rock!!,0,@Lucasmichelotto87,False,6 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
Yup 27 octobre legacy of the Beast ! Vip all the way,0,@Benthetrailerman,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
😊 Absolutely Amazing..I'm Speechless actually...🙏👍🎉,1,@catherinelouise6700,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
If you listen very closely around 4:50 you can hear the moment Dave Murray impregnates his guitar,1,@markkelly9429,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Best of the best 🎉,3,@jonathanaiglon2729,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"This songs brings back so many 
 memories of me on my triumph riding around late at night after the pub closed and my Walkman blastin in my ears😊😊",10,@PhilFinnemore,False,6 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
"Up th e Iton! Always iin my heath,❤",0,@barbabiancorossa,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
How could I not like this song before? It's amazing.,1,@Raggiis,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Hello,it's fantastic,a kiss from to Spain❤",1,@Sucesos_Reales,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
"One of the worst Iron Maiden songs, generic and totally boring!",0,@anargyrosntotas5217,False,6 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
So disappointed they didn’t play this at accord stadium in the Sydney show Thursday night 😭,0,@CalebKonia05,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Anzac cove.a spiritual place where metal meets the meat catch my soul,0,@MarkKennedy-i9r,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
which one,0,@hasnicktir5310,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Here. Greetings from Spain,1,@minerva625,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
"Of course, Maiden forever ❤",1,@luludolollo7082,False,5 months ago,Hallowed Be Thy Name (2015 Remaster),0
Now and forever,0,@lucasmark6179,False,4 months ago,Hallowed Be Thy Name (2015 Remaster),0
2025 too,0,@kolts4195,False,2 months ago,Hallowed Be Thy Name (2015 Remaster),0
I love this song. One of  the best songs of heavy metal history! Bruce is amazing,0,@CobaiaVox,False,6 months ago (edited),Hallowed Be Thy Name (2015 Remaster),0
"First listened in '87, and been listening eversince.",4,@DecemberDawn_666,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
The Goat of songs,1,@leonardol.924,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Listening to this Brazilian anthem properly🤘🖤,0,@Rockeiro-t7v,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Best metal track ever💥💥💥💥💥💥💥,0,@Merozyyy,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Great song!!!!,0,@roxanamadalinatalpau8564,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
Hell yeah !!! Iron Maiden are one of the best bands on the planet !!!!,0,@hughmolloy1787,False,6 months ago,Hallowed Be Thy Name (2015 Remaster),0
