text,like_count,author,is_favorited,_time_text,video_title,is_Hate?
Metallica fucking rulesss,0,@_-ivan-_5129,False,58 seconds ago,Master of Puppets (Remastered),0
Anyone here from re-watching stranger things before season 5 comes out?,2,@ambergoodwin4826,False,2 hours ago,Master of Puppets (Remastered),0
My dad loves master of puppets so i had to listen to it and i love it,0,@AlfredLian,False,7 hours ago,Master of Puppets (Remastered),0
Master of puppets can pull my strings😊,0,@LiamCurry-eq8bk,False,9 hours ago,Master of Puppets (Remastered),0
1:09  we’re are you going Maxine,1,@Spider_Fighter25,False,9 hours ago,Master of Puppets (Remastered),0
"Pov,you are John Romero in the 90s listening tò this banger",0,@CheGuevaraKawaii,False,10 hours ago,Master of Puppets (Remastered),0
"End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
(Master, master, master, master)
Master, master, where's the dreams that I've been after?
Master, master, you promised only lies
Laughter, laughter, all I hear or see is laughter
Laughter, laughter, laughing at my cries
Fix me!
Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season
I will occupy
I will help you die
I will run through you
Now I rule you too
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master",0,@KissCarr89,False,17 hours ago,Master of Puppets (Remastered),0
"I played this at 3am ,my dad rushed into my room and slapped me in the face .he told me why the volume was so Goddam Low",0,@probro22,False,17 hours ago,Master of Puppets (Remastered),0
i love Metallica i try to play some on my channel,0,@axelsped,False,22 hours ago,Master of Puppets (Remastered),0
3:33 fuck drugs. This melodic guitar solo is my kind of high.🫠🎸🤘,0,@zeanyt2372,False,1 day ago,Master of Puppets (Remastered),0
